ano_mes,des_familia,cod_tipo_material,volume_realizado,volume_previsto,valor_consumo_realizado,erro_absoluto,wmape,pct_acumulado_valor,classe_pareto_valor,forecastability,slope_wmape,tendencia_erro,flag_quick_win,flag_revisao_estrutural,peso_negocio,impacto_ponderado
2025-02-01,DES_E4F636ED,ZEMB,39627623.7,38181145,50882755.9,26700131.50000001,67.37757404312893,0.95145439736276,C,Smooth,-1.3197469023354547,Melhora,0,0,1.2,32040157.800000012
2024-10-01,DES_82AD34A6,ROH,301142.15,256439.80000000005,91764729.49999997,149605.05,49.679212956406126,0.2524746639957999,A,Intermittent,-0.72309154717062,Melhora,0,1,1.3,194486.565
2025-06-01,DES_D8183E10,ZDIP,35790.30000000002,36770.5,1361288.4,15799.4,44.144363137498125,0.9997022259706554,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.1,17379.34
2025-06-01,DES_D8183E10,ZDIP,35790.30000000002,36770.5,1361288.4,15799.4,44.144363137498125,0.99845182103311,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.1,17379.34
2025-06-01,DES_D8183E10,ZDIP,35790.30000000002,36770.5,1361288.4,15799.4,44.144363137498125,0.6885496169257188,A,Intermittent,-0.8405455138703585,Melhora,0,1,1.1,17379.34
2025-03-01,DES_FE1875EF,ZDIP,291.8,473.3,13237.5,181.5,62.20013708019191,0.9999999999999998,C,Intermittent,8.469440388560182,Piora,0,0,1.1,199.65
2025-06-01,DES_D5109625,ZEMB,8838083.399999999,9414570.5,10275883.5,2334281.5,26.411625624623554,0.9838589573370461,C,Smooth,-0.7116894393542568,Melhora,0,0,1.2,2801137.8
2025-04-01,DES_D8183E10,ZMEA,12580827.000000002,8479704.7,513859.60000000003,7184594.1,57.10748665409674,0.9995204875216867,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.0,7184594.1
2025-04-01,DES_D8183E10,ZMEA,12580827.000000002,8479704.7,513859.60000000003,7184594.1,57.10748665409674,0.9980401167454159,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.0,7184594.1
2025-04-01,DES_D8183E10,ZMEA,12580827.000000002,8479704.7,513859.60000000003,7184594.1,57.10748665409674,0.6933120692086467,A,Intermittent,-0.8405455138703585,Melhora,0,1,1.0,7184594.1
2025-03-01,DES_9657CF6E,ROH,2602079.860000001,2627742.2099999976,83045373.39999995,528958.4100000005,20.328292691216646,0.2375157006481744,A,Smooth,-0.35027631165759315,Melhora,0,0,1.3,687645.9330000007
2025-03-01,DES_D8183E10,ZMEA,4138761.5,8704554.399999999,160416.4,7337802.5,177.2946447868523,0.9999621398043188,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.0,7337802.5
2025-03-01,DES_D8183E10,ZMEA,4138761.5,8704554.399999999,160416.4,7337802.5,177.2946447868523,0.9987340688872687,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.0,7337802.5
2025-03-01,DES_D8183E10,ZMEA,4138761.5,8704554.399999999,160416.4,7337802.5,177.2946447868523,0.6591923202299808,A,Intermittent,-0.8405455138703585,Melhora,0,1,1.0,7337802.5
2024-11-01,DES_D8183E10,ZEMB,38259297.599999994,51290028.09999999,37106173.89999999,22211913.49999999,58.056250096969876,0.9999437011553518,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.2,26654296.199999984
2024-11-01,DES_D8183E10,ZEMB,38259297.599999994,51290028.09999999,37106173.89999999,22211913.49999999,58.056250096969876,0.9981339094189046,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.2,26654296.199999984
2024-11-01,DES_D8183E10,ZEMB,38259297.599999994,51290028.09999999,37106173.89999999,22211913.49999999,58.056250096969876,0.8173124946570607,B,Intermittent,-0.8405455138703585,Melhora,0,1,1.2,26654296.199999984
2025-01-01,DES_82AD34A6,ROH,288628.3599999999,221062.2800000001,86288205.59999998,156911.12000000005,54.36441519468153,0.43590313864588776,A,Intermittent,-0.72309154717062,Melhora,0,1,1.3,203984.45600000006
2025-02-01,DES_FE1875EF,ZDIP,414.6,405.7,18807.8,8.900000000000034,2.1466473709599696,1.0000000000000002,C,Intermittent,8.469440388560182,Piora,0,0,1.1,9.790000000000038
2024-11-01,DES_030EEC2D,ZEMB,12070866.899999997,9617743.5,57196535.8,6368182.599999999,52.756630097545035,0.6763253499953643,A,Intermittent,0.1693223087407568,Estável,0,1,1.2,7641819.119999998
2025-03-01,DES_D5109625,ZEMB,6578985.800000001,7722383.500000001,7197056.5,1635146.5000000007,24.85408161239686,0.984048730343358,C,Smooth,-0.7116894393542568,Melhora,0,0,1.2,1962175.8000000007
2025-07-01,DES_E4F636ED,ZEMB,50482986.17000001,38511187.40000001,57258154.9,19055876.430000003,37.74712606308566,0.9669357950350936,C,Smooth,-1.3197469023354547,Melhora,0,0,1.2,22867051.716000002
2025-05-01,DES_1E8682C2,ZEMB,9376770.3,8348101.200000001,3449154.8000000003,5439315.900000002,58.00841575483621,0.9948278785104123,C,Intermittent,0.7186586593998603,Piora,0,0,1.2,6527179.080000003
2025-05-01,DES_82AD34A6,ROH,302818.47000000026,245864.85000000006,92061818.19999999,160612.17999999996,53.039096327248416,0.48398355344833344,A,Intermittent,-0.72309154717062,Melhora,0,1,1.3,208795.83399999997
2024-12-01,DES_C0971FAE,ZEMB,197351.7,600164.6,72479.9,402812.9,204.10916146149236,0.9999452389534095,C,Smooth,-9.360578050425811,Melhora,0,0,1.2,483375.48
